lat_grid,lon_grid,fire_count,mean_frp,max_frp,mean_bright,mean_risk,high_conf_pct,norm_count,composite_risk,risk_zone
26.0,83.0,701,6.962296718972896,141.65,333.294179743224,47.30371148459817,6.276747503566334,4.388381119318893,20.0265002801183,Low
15.5,81.0,6,5.166666666666667,10.76,342.405,49.64520142396401,16.666666666666664,0.0375610366846125,20.025246197989873,Low
22.0,82.0,1271,4.219236821400472,48.28,328.9806687647522,46.621752233860214,1.2588512981904012,7.956679604357081,20.020147656453076,Low
15.5,76.5,1121,4.588563782337198,29.95,338.4071275646744,47.313934211099735,1.4272970561998217,7.017653687241768,20.019907324406987,Low
29.5,78.5,1371,4.054711889132021,68.58,325.6099489423778,46.14130197366309,1.0211524434719184,8.582696882433956,20.016450331973168,Low
24.5,77.0,1034,5.403781431334623,42.11,335.3531237911025,46.60160735042355,4.158607350096712,6.4730186553148865,20.00609111616378,Low
24.5,80.5,882,6.4577097505668934,78.69,335.8334126984127,47.22418155223544,3.2879818594104306,5.521472392638037,20.001675878379668,Low
19.5,80.0,1627,3.501180086047941,23.03,335.14711124769514,44.95768754389971,0.43023970497848807,10.185301114310755,20.000125853462585,Low
28.0,81.5,8,7.245,16.12,342.36875,49.62107494730938,12.5,0.05008138224615,19.99455190144383,Very Low
23.0,80.0,1160,4.52975,53.88,331.798224137931,46.86737174222804,1.810344827586207,7.2618004256917486,19.976329191666327,Very Low
